party_id,as_filed,qid,wd_label,wd_description,p31,mark,mapped_type
2160,R. J. Corman Railroad Group,Q7273365,R.J. Corman Railroad Group,American railroad company,Q4830453,,company
4500,Seminole Gulf Railway Lp,,,,,,
7536,Sierra Railroad Company And Sierra Northern Railway,,,,,,
520,Terminal Railroad Association of St. Louis,Q7702680,Terminal Railroad Association of St. Louis,Switching and terminal railroad,Q740752,,railroad
8682,The Shipper Coalition For Railroad Competition,,,,,,
4240,Twin State Railroad Corporation,Q2105191,Portland and Ogdensburg Railway,transport company in United States of America,Q740752,,railroad
2452,Union Railroad Company & Transtar,,,,,,
2386,Wolf Creek Railroad LLC,,,,,,
4892,Acuity Brands Lighting,Q132104561,,,Q43229,,
8947,Ann Marie Baskerville,,,,,,
5088,Arizona Grain Co.,,,,,,
3137,California Assembly Legislature,,,,,,
2709,Canadian Paciifc Kansas City Limited,,,,,,
3060,Canadian Wheat Board,Q2511292,Canadian Wheat Board,Defunct Canadian marketing board,Q327333,,government
7698,Christopher Thomas Marsh,,,,,,
4629,Cities Of East Chicago Indiana,,,,,,
7614,Dmh Trust Fbo Martha M. Head,,,,,,
3104,Doman Forest Products Limited,,,,,,
8001,East Yard Communities For Environmental Justice,,,,,,
3607,Elmer & Delores Hurling,,,,,,
9754,Friends Of Hank Aaron State Trail,,,,,,
9729,Friends Of The Riverfront,,,,,,
9727,Greater Ohio Lake To River Greenway (Golrg),,,,,,
4390,Greenwich Village Society For Historic Preservation,Q5604904,Greenwich Village Society for Historic Preservation,organization,Q163740|Q6815100|Q89126428,,
10024,Honorable Andy Harris,,,,,,
7599,Honorable Bill Huizenga,,,,,,
2248,Honorable Christian Barranco,,,,,,
8748,Honorable Cliff Hite,,,,,,
401,Honorable Glenn Youngkin,,,,,,
1835,Honorable Henry Cuellar,,,,,,
2083,Honorable Hugh Shine,,,,,,
5976,Honorable James P. Moran,,,,,,
1942,Honorable Jason Osborne,,,,,,
638,Honorable Kathleen Kauth,,,,,,
1682,Honorable Leo C. McDermott,,,,,,
9546,Honorable Linda Koop,,,,,,
2261,Honorable Mark Finchem,,,,,,
6652,Honorable Mark R. Warner,,,,,,
1900,Honorable Peter A. DeFazio,,,,,,
